"sci_name","comm_name","name_label","year","catch_mt"
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1982,3.004671522
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1983,8.8480077121
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1984,9.3006978956
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1985,10.5984696949
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1986,10.8147649948
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1987,11.2473555946
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1988,12.1125367942
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1989,12.1125367942
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1990,12.1125367942
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1991,36.5061571451
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1950,206.3028882147
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1951,210.0941503531
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1952,213.7618693545
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1953,217.3060452191
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1954,230.6240902859
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1955,224.0237675377
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1956,237.0947263308
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1957,230.2473173089
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1958,243.0711898283
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1959,235.9766945327
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1960,238.6560684394
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1961,237.1226865131
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1962,245.3528200223
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1963,248.4856860912
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1964,251.4699908894
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1965,254.3057344169
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1966,257.0305665834
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1967,259.6115437181
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1968,271.9460781598
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1969,264.3419328914
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1970,266.4913449302
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1971,266.6954592068
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1972,256.9034629559
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1973,256.8606937936
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1974,262.806135031
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1975,265.4857061316
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1976,274.6731017796
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1977,291.0902508754
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1978,284.0988402223
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1979,275.528486035
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1980,280.7347324573
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1981,276.3308589886
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1982,284.0682337115
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1983,293.758343924
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1984,279.7115825991
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1985,280.3531976414
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1986,288.6240052501
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1987,292.2977901829
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1988,288.681874083
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1989,280.3233851257
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1990,279.0846630996
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1991,273.0038281449
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1992,266.2318047139
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1993,259.3711935155
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1994,252.2554160516
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1995,251.2010710387
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1996,264.9411693639
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1997,236.1244066051
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1998,228.4992702407
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",1999,220.6451493276
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2000,201.3017239122
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2001,189.4507853264
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2002,181.8956037747
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2003,170.8912492621
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2004,159.8136436297
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2005,149.9229600572
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2006,139.8969571985
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2007,129.8328596645
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2008,115.5148547945
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2009,111.4987820905
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2010,108.5380723074
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2011,105.0876708153
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2012,101.5112560974
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2013,97.8157386892
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2014,94.0088065018
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2015,90.1466312078
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2016,86.0926939349
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2017,82.0014391454
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2018,77.8341974422
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",2019,72.9182217382
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1950,28.7958270964
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1951,29.3250127514
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1952,29.8369542133
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1953,30.3316514823
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1954,32.190588729
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1955,31.2693134417
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1956,33.0937623024
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1957,32.1379986292
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1958,33.9279591041
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1959,32.937707045
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1960,33.3116949635
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1961,33.0976649942
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1962,34.2464298204
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1963,34.6837163287
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1964,35.1002666044
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1965,35.4960806476
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1966,35.8764136454
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1967,36.2366673091
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1968,37.9583258092
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1969,36.896936634
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1970,37.1969522953
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1971,37.2254426352
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1972,35.8586724779
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1973,35.8527027438
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1974,36.6825694477
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1975,37.0565848907
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1976,38.3389646909
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1977,40.6304759288
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1978,39.654612459
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1979,38.4583595152
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1980,39.1850491563
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1981,38.5703550041
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1982,39.6503403918
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1983,41.0028892613
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1984,39.0422375521
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1985,39.1317943974
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1986,40.2862365281
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1987,40.7990246749
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1988,40.2943138794
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1989,39.1276331564
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1990,38.9547319159
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1991,38.1059669108
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1992,37.1607255838
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1993,36.2031191462
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1994,35.2098965149
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1995,35.0627306804
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1996,36.980578264
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1997,32.9583247462
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1998,31.8940056267
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",1999,30.7977247661
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2000,28.0977628872
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2001,28.2197969555
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2002,28.8792646857
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2003,28.8890319586
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2004,28.7397309404
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2005,28.6587952219
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2006,28.4078973732
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2007,27.9916329712
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2008,26.431091309
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2009,27.0675560258
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2010,27.9496552001
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2011,28.7025285174
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2012,29.4076047842
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2013,30.0592896375
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2014,30.6517613999
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2015,31.1954773504
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2016,31.6336550206
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2017,32.0096271682
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2018,32.2992784231
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",2019,32.1932015144
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1974,0.2136183301
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1976,0.3830381142
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1978,1.2691146958
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1979,1.3859510335
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1980,1.5325832161
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1981,1.849459723
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1982,2.0828848589
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1983,5.702653391
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1984,5.2792397829
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1985,3.9232042357
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",1986,3.5573316337
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1950,13.3516761629
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1951,13.5970421137
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1952,13.8344125006
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1953,14.0637873233
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1954,14.9257152699
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1955,14.4985502763
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1956,15.3444870951
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1957,14.9013309734
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1958,15.7312766641
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1959,15.2721294145
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1960,15.4455352888
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1961,15.3462966447
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1962,15.8789410413
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1963,16.081696386
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1964,16.2748370228
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1965,16.4583629521
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1966,16.6347108307
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1967,16.8017485837
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1968,17.6000248992
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1969,17.107893713
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1970,17.247001089
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1971,17.260211121
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1972,16.6264848359
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1973,16.6237168669
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1974,17.0084987124
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1975,17.181917349
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1976,17.7765146062
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1977,18.8390128586
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1978,18.3865371237
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1979,17.8318740519
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1980,18.1688160932
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1981,17.8838026698
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1982,18.3845563071
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1983,19.0116886494
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1984,18.1025990581
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1985,18.1441236162
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1986,18.6794003918
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1987,18.9171633583
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1988,18.6831455934
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1989,18.1421941857
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1990,18.062025578
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1991,17.668481213
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1992,17.2302039567
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1993,16.7861934061
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1994,16.3256687999
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1995,16.2574328517
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1996,17.1466755807
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1997,15.2816891632
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1998,14.7881994582
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",1999,14.2798901471
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2000,13.0280022816
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2001,11.9132852157
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2002,11.0887514581
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2003,10.0739340353
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2004,9.0835165514
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2005,8.1889657567
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2006,7.3152345801
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2007,6.4703724212
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2008,5.4579824154
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2009,4.963712478
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2010,4.5184939895
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2011,4.0535012572
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2012,3.5862672397
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2013,3.1185232883
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2014,2.6521168114
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2015,2.1901708519
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2016,1.7312362889
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2017,1.2810454048
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2018,0.8407601505
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",2019,0.4090327233
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1950,19.0721812015
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1951,19.4226738152
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1952,19.7617451776
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1953,20.089395289
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1954,21.3206149339
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1955,20.7104317584
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1956,21.9188089011
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1957,21.2857832233
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1958,22.4713178638
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1959,21.8154496838
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1960,22.0631510373
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1961,21.9213937493
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1962,22.6822488151
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1963,22.9718743742
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1964,23.2477658189
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1965,23.5099231492
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1966,23.7618270042
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1967,24.0004318245
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1968,25.140728395
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1969,24.4377443617
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1970,24.6364520784
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1971,24.6553219281
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1972,23.7500765947
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1973,23.7461226936
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1974,24.2957637267
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1975,24.5434833103
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1976,25.3928348443
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1977,26.9105588329
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1978,26.2642205679
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1979,25.4719129592
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1980,25.9532172978
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1981,25.5460903132
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1982,26.2613910733
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1983,27.1572172997
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1984,25.8586296763
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1985,25.9179453672
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1986,26.6825606509
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1987,27.0221927934
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1988,26.6879104785
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1989,25.9151892755
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1990,25.8006725512
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",1991,25.2385147108
