"id","s1","s2"
"1",0.866666666666667,0.9
"10",0.833333333333333,0.9
"100",0,0.8
"11",0.833333333333333,0.9
"12",0.833333333333333,0.9
"13",0.833333333333333,0.9
"14",0.833333333333333,0.9
"15",0.833333333333333,0.9
"16",0.8,0.9
"17",0.8,0.9
"18",0.8,0.9
"19",0.8,0.9
"2",0.866666666666667,0.9
"20",0.8,0.9
"21",0.8,0.9
"22",0.8,0.9
"23",0.8,0.9
"24",0.8,0.9
"25",0.8,0.9
"26",0.766666666666667,0.9
"27",0.766666666666667,0.9
"28",0.766666666666667,0.9
"29",0.766666666666667,0.9
"3",0.833333333333333,0.9
"30",0.766666666666667,0.9
"31",0.766666666666667,0.9
"32",0.766666666666667,0.9
"33",0.733333333333333,0.9
"34",0.733333333333333,0.9
"35",0.733333333333333,0.9
"36",0.733333333333333,0.9
"37",0.733333333333333,0.9
"38",0.7,0.866666666666667
"39",0.7,0.866666666666667
"4",0.833333333333333,0.9
"40",0.7,0.866666666666667
"41",0.7,0.866666666666667
"42",0.666666666666667,0.866666666666667
"43",0.666666666666667,0.866666666666667
"44",0.666666666666667,0.866666666666667
"45",0.666666666666667,0.866666666666667
"46",0.633333333333333,0.866666666666667
"47",0.633333333333333,0.866666666666667
"48",0.6,0.866666666666667
"49",0.6,0.866666666666667
"5",0.833333333333333,0.9
"50",0.6,0.866666666666667
"51",0.566666666666667,0.866666666666667
"52",0.566666666666667,0.866666666666667
"53",0.533333333333333,0.866666666666667
"54",0.5,0.866666666666667
"55",0.5,0.866666666666667
"56",0.466666666666667,0.866666666666667
"57",0.433333333333333,0.866666666666667
"58",0.366666666666667,0.866666666666667
"59",0.333333333333333,0.866666666666667
"6",0.833333333333333,0.9
"60",0.266666666666667,0.866666666666667
"61",0.166666666666667,0.866666666666667
"62",0.0333333333333333,0.866666666666667
"63",0,0.866666666666667
"64",0,0.866666666666667
"65",0,0.866666666666667
"66",0,0.866666666666667
"67",0,0.833333333333333
"68",0,0.833333333333333
"69",0,0.8
"7",0.833333333333333,0.9
"70",0,0.866666666666667
"71",0,0.866666666666667
"72",0,0.8
"73",0,0.866666666666667
"74",0,0.833333333333333
"75",0,0.866666666666667
"76",0,0.833333333333333
"77",0,0.8
"78",0,0.866666666666667
"79",0,0.8
"8",0.833333333333333,0.9
"80",0,0.8
"81",0,0.733333333333333
"82",0,0.8
"83",0,0.8
"84",0,0.8
"85",0,0.733333333333333
"86",0,0.7
"87",0,0.733333333333333
"88",0,0.766666666666667
"89",0,0.8
"9",0.833333333333333,0.9
"90",0,0.766666666666667
"91",0,0.766666666666667
"92",0,0.766666666666667
"93",0,0.733333333333333
"94",0,0.7
"95",0,0.733333333333333
"96",0,0.766666666666667
"97",0,0.766666666666667
"98",0,0.8
"99",0,0.8
