"id","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"1",0.966666666666667,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.9,0.9,0.879166666666667
"10",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.4,0.8,0.791666666666667
"11",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.266666666666667,0.766666666666667,0.770833333333333
"12",0.866666666666667,0.833333333333333,0.8,0.8,0.9,0.9,0.0333333333333333,0.733333333333333,0.733333333333333
"2",0.966666666666667,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.9,0.9,0.879166666666667
"3",0.933333333333333,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.866666666666667,0.9,0.870833333333333
"4",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.833333333333333,0.866666666666667,0.858333333333333
"5",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.8,0.866666666666667,0.854166666666667
"6",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.766666666666667,0.866666666666667,0.85
"7",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.7,0.866666666666667,0.841666666666667
"8",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.633333333333333,0.833333333333333,0.829166666666667
"9",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.533333333333333,0.833333333333333,0.8125
