"id","s1","s2","s3","s4","s5","s6","s7","s8","s9","total","fraction"
"1",0.966666666666667,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.9,0.9,0.879166666666667,0.0143427322333273,1
"10",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.4,0.8,0.791666666666667,0.129052294126515,10
"11",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.266666666666667,0.766666666666667,0.770833333333333,0.137603775032913,11
"12",0.866666666666667,0.833333333333333,0.8,0.8,0.9,0.9,0.0333333333333333,0.733333333333333,0.733333333333333,0.144378425575358,12
"2",0.966666666666667,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.9,0.9,0.879166666666667,0.0285307469469309,2
"3",0.933333333333333,0.833333333333333,0.833333333333333,0.8,0.9,0.9,0.866666666666667,0.9,0.870833333333333,0.0425343111959187,3
"4",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.833333333333333,0.866666666666667,0.858333333333333,0.0563137572794666,4
"5",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.8,0.866666666666667,0.854166666666667,0.0698150050703415,5
"6",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.766666666666667,0.866666666666667,0.85,0.0829627339229367,6
"7",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.7,0.866666666666667,0.841666666666667,0.0956500238307156,7
"8",0.933333333333333,0.833333333333333,0.8,0.8,0.9,0.9,0.633333333333333,0.833333333333333,0.829166666666667,0.107723104388528,8
"9",0.9,0.833333333333333,0.8,0.8,0.9,0.9,0.533333333333333,0.833333333333333,0.8125,0.118960703344564,9
