"id","s1","s2","s3"
"1",1,1,1
"10",1,1,1
"100",0.0967741935483871,0.67741935483871,0.387096774193548
"11",1,1,1
"12",1,1,1
"13",1,1,1
"14",1,1,1
"15",1,1,1
"16",1,1,1
"17",1,1,1
"18",1,1,1
"19",1,1,1
"2",1,1,1
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"3",1,1,1
"30",1,1,1
"31",1,1,1
"32",1,1,1
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,1
"38",1,1,1
"39",1,1,1
"4",1,1,1
"40",1,1,1
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",1,1,1
"49",1,1,1
"5",1,1,1
"50",1,1,1
"51",1,1,1
"52",1,1,1
"53",1,1,1
"54",1,1,1
"55",1,1,1
"56",1,1,1
"57",1,1,1
"58",1,1,1
"59",1,1,1
"6",1,1,1
"60",1,1,1
"61",1,1,1
"62",1,1,1
"63",1,1,1
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",1,1,1
"68",0.645161290322581,1,0.82258064516129
"69",0.483870967741935,1,0.741935483870968
"7",1,1,1
"70",0.419354838709677,1,0.709677419354839
"71",0.354838709677419,1,0.67741935483871
"72",0.290322580645161,1,0.645161290322581
"73",0.258064516129032,1,0.629032258064516
"74",0.258064516129032,1,0.629032258064516
"75",0.225806451612903,1,0.612903225806452
"76",0.225806451612903,1,0.612903225806452
"77",0.193548387096774,1,0.596774193548387
"78",0.193548387096774,1,0.596774193548387
"79",0.161290322580645,1,0.580645161290323
"8",1,1,1
"80",0.161290322580645,1,0.580645161290323
"81",0.161290322580645,1,0.580645161290323
"82",0.161290322580645,1,0.580645161290323
"83",0.161290322580645,1,0.580645161290323
"84",0.129032258064516,1,0.564516129032258
"85",0.129032258064516,1,0.564516129032258
"86",0.129032258064516,1,0.564516129032258
"87",0.129032258064516,1,0.564516129032258
"88",0.129032258064516,0.967741935483871,0.548387096774194
"89",0.129032258064516,0.935483870967742,0.532258064516129
"9",1,1,1
"90",0.129032258064516,0.903225806451613,0.516129032258065
"91",0.0967741935483871,0.870967741935484,0.483870967741935
"92",0.0967741935483871,0.838709677419355,0.467741935483871
"93",0.0967741935483871,0.806451612903226,0.451612903225806
"94",0.0967741935483871,0.806451612903226,0.451612903225806
"95",0.0967741935483871,0.774193548387097,0.435483870967742
"96",0.0967741935483871,0.741935483870968,0.419354838709677
"97",0.0967741935483871,0.709677419354839,0.403225806451613
"98",0.0967741935483871,0.709677419354839,0.403225806451613
"99",0.0967741935483871,0.67741935483871,0.387096774193548
