"species","r","k","msy","fmsy","bmsy"
"Acanthocybium solandri",0.511324940235267,81.625355763931,10.4342700394186,0.255662470117634,40.8126778819655
"Haemulon sciurus",0.490416622075906,971.359234771171,119.092678684679,0.245208311037953,485.679617385586
"Lachnolaimus maximus",0.682068627069185,209.735601615335,35.7635184603253,0.341034313534593,104.867800807668
"Lutjanus analis",0.300254449144082,8156.87153465711,612.284242344379,0.150127224572041,4078.43576732856
"Lutjanus apodus",0.440541776184262,321.908481252492,35.4535335249377,0.220270888092131,160.954240626246
"Lutjanus griseus",0.216481540165354,786.586393865713,42.5703585042903,0.108240770082677,393.293196932857
"Lutjanus jocu",0.241593190097805,755.312604315845,45.6195953994363,0.120796595048902,377.656302157922
"Lutjanus purpureus",0.28866166096675,1522.24186735503,109.853216455958,0.144330830483375,761.120933677517
"Lutjanus synagris",0.550254159121924,2547.863351634,350.493101527734,0.275127079560962,1273.931675817
"Lutjanus vivanus",0.228607207327872,877.017002173113,50.1231019114646,0.114303603663936,438.508501086557
"Mycteroperca bonaci",0.204231729682879,125.811287813696,6.42366423095542,0.10211586484144,62.9056439068482
"Caranx hippos",0.472366552741015,2197.85172897987,259.547911163525,0.236183276370507,1098.92586448994
"Ocyurus chrysurus",0.521393627218444,5457.93154922616,711.432681890252,0.260696813609222,2728.96577461308
"Rachycentron canadum",0.459036753106382,238.341841303516,27.3519162403406,0.229518376553191,119.170920651758
"Scomberomorus cavalla",0.156452942674955,1155.36591464869,45.1900993032821,0.0782264713374773,577.682957324345
"Seriola dumerili",0.439386870498659,272.701047318841,29.9553149407831,0.219693435249329,136.350523659421
"Sphyraena barracuda",0.171829942097335,3162.35225991882,135.846701428307,0.0859149710486674,1581.17612995941
"Centropomus undecimalis",0.71471243928751,205.935105064957,36.7960953189763,0.357356219643755,102.967552532479
"Coryphaena hippurus",0.868098579428758,17.2791010272989,3.74999076390106,0.434049289714379,8.63955051364944
"Epinephelus guttatus",0.404541885103019,163.635483584183,16.5493517497223,0.202270942551509,81.8177417920917
"Epinephelus itajara",0.157670163619407,522.710827714524,20.6039754328462,0.0788350818097035,261.355413857262
"Epinephelus striatus",0.32279107231033,1116.5979403646,90.106961627449,0.161395536155165,558.2989701823
"Gerres cinereus",1.17756647539167,297.12485923788,87.4710683109991,0.588783237695835,148.56242961894
"Haemulon plumierii",0.663816183439652,373.488327977987,61.9818991094009,0.331908091719826,186.744163988993
