"id","s1","s2","s3","s4","s5","total","fraction"
"1",0.741935483870968,0.67741935483871,0.838709677419355,0.838709677419355,0.774193548387097,0.00711574238930543,1
"10",0.161290322580645,0.580645161290323,0.838709677419355,0.838709677419355,0.604838709677419,0.0692029269489593,10
"11",0.032258064516129,0.548387096774194,0.838709677419355,0.838709677419355,0.564516129032258,0.0757694523309374,11
"2",0.709677419354839,0.67741935483871,0.838709677419355,0.838709677419355,0.766129032258065,0.0142022402075243,2
"3",0.67741935483871,0.67741935483871,0.838709677419355,0.838709677419355,0.758064516129032,0.0212554607289392,3
"4",0.612903225806452,0.645161290322581,0.838709677419355,0.838709677419355,0.733870967741935,0.0282706617754395,4
"5",0.580645161290323,0.645161290322581,0.838709677419355,0.838709677419355,0.725806451612903,0.0352422988755899,5
"6",0.516129032258065,0.645161290322581,0.838709677419355,0.838709677419355,0.709677419354839,0.0421639706715667,6
"7",0.451612903225806,0.612903225806452,0.838709677419355,0.838709677419355,0.685483870967742,0.0490284630554711,7
"8",0.387096774193548,0.612903225806452,0.838709677419355,0.838709677419355,0.669354838709677,0.0558280036086641,8
"9",0.290322580645161,0.580645161290323,0.838709677419355,0.838709677419355,0.637096774193548,0.0625549135883171,9
